address,amenities,baths,beds,broker,neighborhood,page,rent
First Avenue,"1,000 ft² ; Elevator",1,3,Jonathan Hernandez,East Village; Downtown Manhattan; Manhattan,1,4275
50 Battery Pl Apt 9D,Doorman ; Elevator,1,1,,Battery Park City; Downtown Manhattan; Manhattan,1,3820
2016 Himrod St,,3,4,,Ridgewood; Northwestern Queens; Queens,1,3799
E 95th St,Doorman ; Elevator ; Pre-War ; Hardwood Floors,1,2,,Upper East Side; Upper Manhattan; Manhattan,1,3500
10th Avenue,Doorman ; Elevator ; Laundry in Unit ; Hardwood Floors,1,1,Ervin Emin,Hell's Kitchen; Midtown Manhattan; Manhattan,1,3100
181 Prince Street Apt 5,Hardwood Floors,1,3,,SoHo; Downtown Manhattan; Manhattan,1,3700
John Street,Elevator ; Laundry in Unit ; Hardwood Floors,1,1,,Financial District; Downtown Manhattan; Manhattan,1,4895
305 East 56th Street Apt 1F,,1,Studio,Jason Zeller,Sutton Place; Midtown East; Midtown Manhattan; Manhattan,1,2095
91 Allen Street Apt 15,,1,2,,Bowery; Downtown Manhattan; Manhattan,1,4525
East 50's New Dev,Doorman ; Elevator ; Laundry in Unit,2,2,Jared Schwartz,Midtown East; Midtown Manhattan; Manhattan,1,4995
36 Avenue,,1,Studio,,Long Island City; Northwestern Queens; Queens,1,1800
194 East 3rd Street Apt 3A,Laundry in Unit,1,2,Tom G,Alphabet City; East Village; Downtown Manhattan; Manhattan,1,3300
600 West 42nd Street Apt GS48...,Doorman ; Elevator,1,Studio,,Hell's Kitchen; Midtown Manhattan; Manhattan,1,3040
East 39th Street,Doorman ; Elevator ; Hardwood Floors,1,2,Eric Coronel,Murray Hill; Midtown Manhattan; Manhattan,1,3095
30 W 63rd St Apt 23M,Doorman ; Elevator,2,3,Kelly Neptune,Lincoln Square; Upper West Side; Upper Manhattan; Manhattan,1,6500
229 east 12th st,Elevator,1,3,,East Village; Downtown Manhattan; Manhattan,1,4900
329 West 38th Street,Doorman ; Elevator,2,2,,Garment District; Midtown Manhattan; Manhattan,1,5595
East 52nd Street,Doorman ; Elevator ; Hardwood Floors,1,2,,Turtle Bay; Midtown East; Midtown Manhattan; Manhattan,1,4000
E 12th,750 ft² ; Elevator,1,1,,East Village; Downtown Manhattan; Manhattan,1,4195
213 Kent St,,1,1,,Greenpoint; Northern Brooklyn; Brooklyn,1,2200
