,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
0,201 East 12th St,4195,1,1,Manhattan,East Village,True,False,False,False,,1
1,East 17 st,4200,3,1,Manhattan,Gramercy Park,True,False,False,False,,1
2,507 W 134th St Apt 54,2450,2,2,Manhattan,Manhattanville,False,False,True,False,,1
3,Blue Slip,3035,1,1,Brooklyn,Greenpoint,True,True,True,False,,1
4,97 Second Avenue Apt 9,5000,3,1,Manhattan,East Village,False,False,False,False,,1
5,East 20's,4195,3,1,Manhattan,Gramercy Park,True,True,False,False,,1
6,Reade St,3295,1,1,Manhattan,Tribeca,True,False,False,False,,1
7,128 West 74th Street Apt B,4400,2,2,Manhattan,Upper West Side,False,False,False,False,1100,1
8,119 Fulton Street Apt 6BB,4240,1,1,Manhattan,Financial District,True,True,True,False,940,1
9,300 W 55th St. Apt 9W,2250,Studio,1,Manhattan,Theater District,True,True,False,False,,1
10,528 Grand St. Apt 2,4200,4,2,Brooklyn,East Williamsburg,False,False,False,False,,1
11,2016 Himrod St,3799,4,3,Queens,Ridgewood,False,False,False,False,,1
12,E 106th St,2653,3,1,Manhattan,East Harlem,False,False,True,False,,1
13,50 Battery Pl Apt 9D,3820,1,1,Manhattan,Battery Park City,True,True,False,False,,1
14,77 Clay Street Apt 3A,4400,4,2,Brooklyn,Greenpoint,True,False,False,False,1000,1
15,305 West 45th Street Apt 5N,1875,Studio,1,Manhattan,Hell's Kitchen,True,False,False,False,,1
16,Second Avenue,5000,2,2,Manhattan,Yorkville,False,True,False,False,1000,1
17,600 West 42nd Street Apt GS48...,3040,Studio,1,Manhattan,Hell's Kitchen,True,True,False,False,,1
18,East 63rd & 3rd Avenue,3400,2,1,Manhattan,Upper East Side,True,True,False,False,675,1
19,East 78th Street,2550,1,1,Manhattan,Upper East Side,False,False,False,False,,1
20,Sixth Avenue,2800,2,1,Manhattan,West Village,False,False,False,False,,43
21,North End Avenue,6995,2,2,Manhattan,Battery Park City,True,True,True,False,,43
22,West 62nd Street,7900,2,2,Manhattan,Lincoln Square,True,True,True,False,,43
